Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
BAC,Bank of America Corporation,31.7,0.0315557,0.01,Neutral,58171005,1844020858.5,254717075125,9.89786676,3.226,208000,Finance
WFC,Wells Fargo & Company,43.17,1.86408683,0.79,Buy,33977458,1466806861.8600001,163745942584,10.16258213,4.2068,247848,Finance
JPM,JP Morgan Chase & Co.,111.19,1.66407607,1.82,Neutral,33420027,3715972802.13,326072744520,8.77754771,12.4791,271025,Finance
C,"Citigroup, Inc.",43.23,0.65192084,0.28,Sell,28895317,1249144553.9099998,83949223719,5.49099324,7.8706,223400,Finance
USB,U.S. Bancorp,42.76,3.35992265,1.39,Buy,19272693,824100352.68,63532123809.99999,9.85680589,4.2585,68796,Finance
KEY,KeyCorp,16.48,-1.3764213,-0.23,Neutral,16070253,264837769.44,15370212796,7.30045,2.3137,,Finance
MS,Morgan Stanley,75.3,-5.06807867,-4.02,Strong Sell,13663536,1028864260.8,129277025173,10.72442606,7.5108,74814,Finance
SCHW,Charles Schwab Corporation (The),68.98,-6.87187795,-5.09,Sell,13327287,919316257.2600002,130861120218,24.33711188,3.0566,33400,Finance
TOP,TOP Financial Group Limited,5.49,-73.46544224,-15.2,Strong Sell,10149826,55722544.74,192424488,,,11,Finance
RF,Regions Financial Corporation,20.68,-0.95785441,-0.2,Sell,9317954,192695288.72,19323315794.999996,9.37247509,2.2457,19626,Finance
OWL,Blue Owl Capital Inc.,8.57,0.11682243,0.01,Sell,6799692,58273360.44000001,11976608673,,-0.1883,350,Finance
BK,The Bank of New York Mellon Corporation,38.41,-2.04029584,-0.8,Sell,6436061,247209103.01,31039246534,9.98116281,3.95,49100,Finance
PNC,"PNC Financial Services Group, Inc. (The)",149.7,-2.13767405,-3.27,Sell,4734958,708823212.5999999,61395560489,11.5397672,13.2559,59426,Finance
IVZ,Invesco Ltd,14.28,-1.58511371,-0.23,Sell,4303000,61446840,6496544857,6.26538279,2.329,8513,Finance
NDAQ,"Nasdaq, Inc.",54.75,-6.49017933,-3.8,Strong Sell,3426535,187602791.25,26894635918,25.94036596,2.2864,5814,Finance
BAM,Brookfield Asset Management Inc.,37.9,-3.09383789,-1.21,Sell,2984071,113096290.9,62223653475.63828,17.35066399,2.33375823,180000,Finance
ICE,Intercontinental Exchange Inc.,90.15,-2.50892181,-2.32,Sell,2929657,264108578.55,50345012265.99999,15.47097206,6.0072,8858,Finance
BX,Blackstone Inc.,84.12,-2.53736531,-2.19,Sell,2900666,244004023.92,101276507701,15.75229961,5.4818,3795,Finance
COF,Capital One Financial Corporation,95.39,-2.48415457,-2.43,Sell,2866431,273428853.09,36612371934,4.29411765,22.8718,50767,Finance
BEN,"Franklin Resources, Inc.",21.71,-2.25123818,-0.5,Sell,2837801,61608659.71,10819332547,6.58464275,3.3777,10300,Finance
KKR,KKR & Co. Inc.,44.32,-2.63620387,-1.2,Sell,2805035,124319151.2,38107817579.00001,35.64883703,1.4647,3238,Finance
STT,State Street Corporation,61.11,-3.76377953,-2.39,Sell,2693135,164577479.85,22465218962,8.79269998,7.3313,38784,Finance
GS,"Goldman Sachs Group, Inc. (The)",299.99,-2.3056632,-7.08,Sell,2398350,719481016.5,103030595381,6.94178818,44.9166,43900,Finance
APO,"Apollo Global Management, Inc. (New)",47.36,-2.47116969,-1.2,Strong Sell,2134242,101077701.12,27042112302,,-3.0684,2153,Finance
MEGL,Magic Empire Global Limited,2.9,0,0,Sell,2018464,5853545.6,58000000,,,9,Finance
CG,The Carlyle Group Inc.,25.43,-4.47032307,-1.19,Sell,1800523,45787299.89,9188492843,4.85810749,5.5924,1850,Finance
TROW,"T. Rowe Price Group, Inc.",98.31,-3.57983523,-3.65,Sell,1705927,167709683.37,22345531225,9.84131887,10.4454,7529,Finance
CMA,Comerica Incorporated,72.11,-0.45554942,-0.33,Sell,1614692,116435440.12,9433414303,10.54977063,6.9442,7611,Finance
PFG,Principal Financial Group Inc,76.61,-2.75450622,-2.17,Buy,1598810,122484834.1,19094072402,4.79127135,16.6876,18600,Finance
JEF,Jefferies Financial Group Inc.,30.84,-2.21940393,-0.7,Sell,1564695,48255193.8,7062054628,8.60901845,3.7533,5556,Finance
JHG,Janus Henderson Group plc,20.75,-2.39887112,-0.51,Sell,1487176,30858902,3437401698.9999995,7.22269407,2.9536,2235,Finance
CRBG,Corebridge Financial Inc.,20.02,-1.47637795,-0.3,Sell,1401236,28052744.72,12912900000,1.20176243,16.9085,,Finance
IBKR,"Interactive Brokers Group, Inc.",68.42,-3.15640481,-2.23,Buy,1395125,95454452.5,28922816975.999996,27.51382506,2.5904,2571,Finance
RJF,"Raymond James Financial, Inc.",100.59,-5.56702967,-5.93,Sell,1394543,140277080.37,21709835653,15.18503735,7.2092,20021,Finance
CME,CME Group Inc.,171.82,-1.50194909,-2.62,Sell,1299236,223234729.52,61758374690,21.63301751,8.1005,3480,Finance
BLK,"BlackRock, Inc.",550.95,-2.66416974,-15.08,Sell,1276493,703283818.35,83470717504,15.59414397,36.7377,18400,Finance
CADE,Cadence Bank,27.6,0.14513788,0.04,Strong Buy,1256309,34674128.4,5088785025,15.90672977,1.74,4600,Finance
BGCP,"BGC Partners, Inc.",3.53,-5.36193029,-0.2,Sell,1155010,4077185.3,1317669865,13.38356656,0.2867,3920,Finance
ATCO,Atlas Corp.,14.85,0.47361299,0.07,Buy,1108428,16460155.8,4165779951.999999,8.37773495,1.9217,6200,Finance
TW,Tradeweb Markets Inc.,53.36,-1.640553,-0.89,Sell,1100597,58727855.92,12507089796.000002,44.20272142,1.2529,1046,Finance
FSK,FS KKR Capital Corp.,17.88,-0.88691796,-0.16,Sell,1042038,18631639.44,5078224237,8.52350579,2.1165,,Finance
LPLA,LPL Financial Holdings Inc.,238.54,-3.91912031,-9.73,Buy,1039619,247990716.26,19028285326,40.08880995,6.3157,5900,Finance
SF,Stifel Financial Corporation,52.19,-4.0095641,-2.18,Strong Sell,905794,47273388.86,5539664225.999999,8.57368131,6.9457,8600,Finance
AMP,"Ameriprise Financial, Inc.",257.87,-6.12668365,-16.83,Sell,890714,229688419.18,27892642041,9.8927891,28.3993,12000,Finance
HTGC,"Hercules Capital, Inc.",12.6,-0.47393365,-0.06,Sell,842069,10610069.4,1603209602,115.61643836,0.1124,90,Finance
VIRT,"Virtu Financial, Inc.",21.48,-0.7852194,-0.17,Sell,815700,17521236,3698075520.000001,6.67283094,3.2607,973,Finance
OCSL,Oaktree Specialty Lending Corporation,6.24,0.32154341,0.02,Sell,776249,4843793.76,1144255293,21.12771739,0.2944,,Finance
HQY,"HealthEquity, Inc.",71.03,-2.13557454,-1.55,Buy,769087,54628249.61,6004217192,,-0.7408,3715,Finance
WETF,"WisdomTree Investments, Inc.",4.8,-1.2345679,-0.06,Sell,762354,3659299.2,703607767,76.29513344,0.0804,241,Finance
COWN,Cowen Inc.,38.4,-0.07806401,-0.03,Sell,709916,27260774.4,1061828874.9999998,8.38423946,5.1535,1534,Finance
LAZ,"Lazard LTD. Lazard, LTD.",31.94,-2.47328244,-0.81,Sell,664354,21219466.76,3601748987,6.85504971,5.0597,3179,Finance
SEIC,SEI Investments Company,47.71,-2.19352194,-1.07,Sell,653957,31200288.47,6464181445.999999,11.70598258,4.2225,4406,Finance
SFNC,Simmons First National Corporation,23.88,0,0,Buy,621868,14850207.84,3120021585,12.22171043,1.968,2877,Finance
GBDC,"Golub Capital BDC, Inc.",12.93,-0.76745971,-0.1,Neutral,608224,7864336.32,2209681138,10.21239909,1.2759,,Finance
ARES,Ares Management Corporation,61.08,-2.80076384,-1.76,Sell,598001,36525901.08,10504311043.999998,40.26140441,1.6229,2100,Finance
DAVE,Dave Inc.,0.3571,-9.57204356,-0.0378,Sell,593131,211807.0801,133735834,,-0.1737,254,Finance
FHI,"Federated Hermes, Inc.",31.69,-0.81377152,-0.26,Sell,557304,17660963.76,2824898767,11.91452864,2.6898,1968,Finance
TPG,TPG Inc.,27.6,-5.89839755,-1.73,Strong Sell,543451,14999247.6,8525438565.999999,,0.3665,,Finance
MC,Moelis & Company,37.3,-2.3815755,-0.91,Sell,528361,19707865.3,2610023087,8.18113692,5.0502,990,Finance
HOPE,"Hope Bancorp, Inc.",13.53,-0.73367572,-0.1,Sell,521070,7050077.1,1616514451.9999998,7.52539753,1.8225,1476,Finance
BSIG,BrightSphere Investment Group Inc.,17.64,-4.13043478,-0.76,Neutral,515884,9100193.76,730893212,7.96605767,2.3919,350,Finance
EVR,Evercore Inc.,90.03,-1.98149156,-1.82,Neutral,503528,45332625.84,3524152945,5.46218987,18.1105,1950,Finance
APAM,Artisan Partners Asset Management Inc.,26.61,-1.84433788,-0.5,Sell,474385,12623384.85,2118836778,6.65897033,4.0774,498,Finance
BBDC,"Barings BDC, Inc.",8.27,0.60827251,0.05,Sell,444749,3678074.23,903313880,19.33207902,0.4252,,Finance
FOCS,Focus Financial Partners Inc.,30.87,-5.94149909,-1.95,Sell,440382,13594592.34,2391885980,30.41141586,1.0851,4400,Finance
PWP,Perella Weinberg Partners,6.92,-3.21678322,-0.23,Sell,391649,2710211.08,602538119.0000001,26.49129307,0.4738,602,Finance
HLI,"Houlihan Lokey, Inc.",79.6,-2.68948655,-2.2,Neutral,369820,29437672,5476547896,13.22511802,6.5444,2257,Finance
AB,AllianceBernstein Holding L.P.,32.45,-1.60703457,-0.53,Sell,339892,11029495.4,3159553969.9999995,8.86845219,3.7188,4118,Finance
TSLX,"Sixth Street Specialty Lending, Inc.",17.07,-0.81348053,-0.14,Sell,335068,5719610.76,1382567090.9999998,10.75288972,1.6795,,Finance
GSBD,"Goldman Sachs BDC, Inc.",14.72,-1.34048257,-0.2,Sell,308941,4547611.52,1503816844,11.18608487,1.3338,,Finance
MAIN,Main Street Capital Corporation,33.14,-0.54021609,-0.18,Sell,300548,9960160.72,2488006339,9.07506264,3.6716,80,Finance
EQOS,EQONEX LIMITED,0.287,-10.3125,-0.033,Strong Sell,297045,85251.915,13284412,,-1.8464,195,Finance
MKTX,"MarketAxess Holdings, Inc.",229.77,-3.82168271,-9.13,Sell,276898,63622853.46,8648544573.999998,37.41054511,6.4507,676,Finance
GCMG,GCM Grosvenor Inc.,7.25,-0.27510316,-0.02,Sell,274897,1993003.25,1350533844.0000002,14.5283773,0.6892,524,Finance
CASH,"Pathward Financial, Inc.",37.55,-3.37107566,-1.31,Buy,265165,9956945.75,1090959661.0000002,7.90866167,4.916,1134,Finance
AMG,"Affiliated Managers Group, Inc.",114.47,-1.95289079,-2.28,Sell,262545,30053526.15,4375782429,8.7783935,14.0251,4050,Finance
OFG,OFG Bancorp,26.97,-1.28111274,-0.35,Buy,252971,6822627.87,1282523860,8.91557615,3.0927,2269,Finance
VCTR,"Victory Capital Holdings, Inc. Class A Common Stock",26.22,-1.31727512,-0.35,Neutral,252674,6625112.28,1794719465.0000002,6.6439949,4.3037,485,Finance
FTAI,Fortress Transportation and Infrastructure Investors LLC,15.27,-3.41555977,-0.54,Sell,250765,3829181.55,1517513963.0000002,,-2.8215,600,Finance
BRDG,Bridge Investment Group Holdings Inc.,14.61,-2.6,-0.39,Strong Sell,246219,3597259.59,2102382799.9999995,11.0864745,1.353,1800,Finance
