Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
GOLD,Barrick Gold Corporation,14.16,-3.47648262,-0.51,Strong Sell,19008816,269164834.56,25077359805.534077,13.28075083,1.10460622,21300,Non-Energy Minerals
FCX,"Freeport-McMoRan, Inc.",27.64,-5.85831063,-1.72,Strong Sell,13974832,386264356.48,39505032590,8.89993634,3.3272,24700,Non-Energy Minerals
CLF,Cleveland-Cliffs Inc.,14.45,-5.74037834,-0.88,Sell,10340145,149415095.25,7474950329,2.30256241,7.0104,26000,Non-Energy Minerals
NEM,Newmont Corporation,40.74,-2.11436809,-0.88,Strong Sell,9793515,398987801.1,32334544126,41.74942321,0.9982,31000,Non-Energy Minerals
X,United States Steel Corporation,18.85,-5.08559919,-1.01,Sell,9629464,181515396.4,4471729135,1.15936953,18.559,24540,Non-Energy Minerals
HL,Hecla Mining Company,4.17,-6.91964286,-0.31,Sell,7442459,31035054.03,2478620405,2800,0.0019,1600,Non-Energy Minerals
AA,Alcoa Corporation,38.35,-6.1888454,-2.53,Sell,5606597,215012994.95,6900130615,8.01678662,5.2562,12200,Non-Energy Minerals
CDE,"Coeur Mining, Inc.",3.27,-7.62711864,-0.27,Sell,4881925,15963894.75,918436496.0000002,,-0.5063,2105,Non-Energy Minerals
CENX,Century Aluminum Company,5.76,-11.52073733,-0.75,Sell,2483315,14303894.4,526222770,11.13581936,0.6096,2512,Non-Energy Minerals
HYMC,Hycroft Mining Holding Corporation,0.5588,-8.37842269,-0.0511,Sell,2352025,1314311.57,111599526,,-1.485,102,Non-Energy Minerals
JELD,"JELD-WEN Holding, Inc.",8.76,-2.12290503,-0.19,Sell,2037413,17847737.88,738107612.9999999,6.4714389,1.4053,24700,Non-Energy Minerals
NUE,Nucor Corporation,118.71,-4.26612903,-5.29,Sell,1978516,234869634.36,31076548263,3.80498822,32.6544,28800,Non-Energy Minerals
MP,MP Materials Corp.,27.25,-7.21824991,-2.12,Sell,1551404,42275759,4837804733,22.66903365,1.4212,365,Non-Energy Minerals
SCCO,Southern Copper Corporation,47.03,-3.52820513,-1.72,Sell,1488657,70011538.71000001,36358540709,12.91767137,3.7739,14700,Non-Energy Minerals
TREX,"Trex Company, Inc.",45.22,-7.95847751,-3.91,Strong Sell,1411358,63821608.76,4986112336.999999,21.74086202,2.2641,1924,Non-Energy Minerals
SSRM,SSR Mining Inc.,13.57,-2.58435032,-0.36,Strong Sell,1348564,18300013.48,2831016977.5818276,10.18228339,1.43600362,,Non-Energy Minerals
TMC,TMC the metals company Inc.,1.07,-9.3220339,-0.11,Buy,1322335,1414898.45,243059549.99999997,,-0.4143,31,Non-Energy Minerals
CMC,Commercial Metals Company,41.22,-1.97384067,-0.83,Buy,1317056,54289048.32,4836866119.000001,4.22315959,10.0853,12483,Non-Energy Minerals
STLD,"Steel Dynamics, Inc.",78.06,-3.65341891,-2.96,Buy,1218542,95119388.52,14254593375,3.60189742,22.6522,10640,Non-Energy Minerals
GSM,Ferroglobe PLC,5.19,-6.48648649,-0.36,Strong Sell,1196481,6209736.39,972156796,3.47722574,1.6122,3425,Non-Energy Minerals
SUM,"Summit Materials, Inc.",24.44,-3.20792079,-0.81,Sell,937619,22915408.36,2891255490.0000005,10.96967591,2.3158,5500,Non-Energy Minerals
ATI,ATI Inc.,27,-2.7027027,-0.75,Sell,850842,22972734,3507357924.9999995,804.34782609,0.0881,6300,Non-Energy Minerals
LPX,Louisiana-Pacific Corporation,53.11,-1.39249907,-0.75,Sell,800687,42524486.57,3923344484,3.27293057,16.4562,4800,Non-Energy Minerals
VMC,Vulcan Materials Company (Holding Company),148.44,-4.39878921,-6.83,Strong Sell,603446,89575524.24,19727820379,34.90939341,4.4697,11437,Non-Energy Minerals
ARNC,Arconic Corporation,19.48,-3.75494071,-0.76,Sell,557257,10855366.36,1999902876,16.48476951,1.2666,13900,Non-Energy Minerals
MHK,"Mohawk Industries, Inc.",96.25,-0.44476624,-0.43,Sell,541369,52106766.25,6115123672,6.48576125,14.973,43000,Non-Energy Minerals
TMST,TimkenSteel Corporation,14.81,-10.45949214,-1.73,Strong Sell,537546,7961056.26,684590043,,,1850,Non-Energy Minerals
SLCA,"U.S. Silica Holdings, Inc.",11.23,-4.91109229,-0.58,Sell,461290,5180286.7,848488873.0000001,,-0.3314,1863,Non-Energy Minerals
MUX,McEwen Mining Inc.,3.19,-10.89385475,-0.39,Strong Sell,457485,1459377.15,151293161,,-1.5165,430,Non-Energy Minerals
GATO,"Gatos Silver, Inc.",3.11,-9.85507246,-0.34,Neutral,411248,1278981.28,215008260.00000003,,,,Non-Energy Minerals
MLM,"Martin Marietta Materials, Inc.",298.83,-4.93717194,-15.52,Strong Sell,405003,121027046.49,18639263925,24.43508205,12.9006,10000,Non-Energy Minerals
RS,Reliance Steel & Aluminum Co.,181.74,-2.83361848,-5.3,Neutral,395901,71951047.74000001,10957855922.999998,6.17842243,30.7694,13700,Non-Energy Minerals
RGLD,"Royal Gold, Inc.",89.53,-3.30489254,-3.06,Strong Sell,382448,34240569.44,5876718328.000001,22.1687497,4.1803,28,Non-Energy Minerals
EXP,Eagle Materials Inc,111.02,-3.84548761,-4.44,Sell,353560,39252231.2,4183755691.999999,11.98513536,9.7128,2200,Non-Energy Minerals
IPI,"Intrepid Potash, Inc",39.6,-10.26512576,-4.53,Strong Sell,270585,10715166,538995317,2.10059833,21.5348,440,Non-Energy Minerals
UFPI,"UFP Industries, Inc.",70.19,-3.67778235,-2.68,Sell,219686,15419760.34,4325285396,7.06262055,10.3452,15000,Non-Energy Minerals
CRS,Carpenter Technology Corporation,33.47,-4.61669991,-1.62,Sell,217653,7284845.91,1616745437.0000002,,-1.0109,4100,Non-Energy Minerals
NEXA,Nexa Resources S.A.,5.33,-4.48028674,-0.25,Sell,162391,865544.03,705897801.9999999,4.78190076,1.1669,,Non-Energy Minerals
WOR,"Worthington Industries, Inc.",42.44,-3.54545455,-1.56,Sell,137448,5833293.12,2109748956,7.11686211,6.2889,8400,Non-Energy Minerals
RYI,Ryerson Holding Corporation,28.92,-5.02463054,-1.53,Buy,123743,3578647.56,1071644291.0000002,2.29729832,13.5201,4000,Non-Energy Minerals
AQMS,"Aqua Metals, Inc.",0.7664,-1.51631971,-0.0118,Sell,123598,94725.5072,58974154,,-0.1901,23,Non-Energy Minerals
SCHN,"Schnitzer Steel Industries, Inc.",28.56,-3.70869858,-1.1,Sell,120066,3429084.96,783886570,4.38562768,7.1483,3167,Non-Energy Minerals
KALU,Kaiser Aluminum Corporation,65.42,-2.70672219,-1.82,Sell,95673,6258927.66,1042832738,,-0.3954,3957,Non-Energy Minerals
TG,Tredegar Corporation,10.06,-1.56555773,-0.16,Neutral,79762,802405.72,341863753.99999994,5.85505586,1.7472,2400,Non-Energy Minerals
HAYN,"Haynes International, Inc.",40.66,-1.31067961,-0.54,Buy,64011,2602687.26,506724341,16.62161617,2.5083,1110,Non-Energy Minerals
LXFR,Luxfer Holdings PLC,14.83,0.2027027,0.03,Sell,62902,932836.66,406610313.00000006,18.8607111,0.7922,,Non-Energy Minerals
SND,"Smart Sand, Inc.",1.61,-4.73372781,-0.08,Sell,48406,77933.66,72922565,,-0.6085,239,Non-Energy Minerals
RBCN,"Rubicon Technology, Inc.",2.01,2.03045685,0.04,Sell,45781,92019.81,4950407,3.94868711,0.5015,13,Non-Energy Minerals
SIRE,Sisecam Resources LP,22.05,-1.29811996,-0.29,Buy,42995,948039.75,436585384,8.936,2.5,499,Non-Energy Minerals
NXPL,NextPlat Corp,2,-9.90990991,-0.22,Strong Sell,38825,77650,19016191,,-1.1394,5,Non-Energy Minerals
NWPX,Northwest Pipe Company,30.06,-2.46593121,-0.76,Sell,34609,1040346.54,298416452,15.00486855,2.0666,1256,Non-Energy Minerals
VOXR,Vox Royalty Corp.,2.06,-4.62962963,-0.1,Strong Sell,26139,53846.34,92954639.59229998,,-0.137,,Non-Energy Minerals
CSTE,Caesarstone Ltd.,9.25,-2.32312566,-0.22,Sell,21417,198107.25,318902981,15.99932421,0.5931,2272,Non-Energy Minerals
RETO,"ReTo Eco-Solutions, Inc.",0.43,-2.27272727,-0.01,Sell,17930,7709.9,15969390,,-0.6043,115,Non-Energy Minerals
USAU,U.S. Gold Corp.,3.52,-1.12359551,-0.04,Strong Sell,13162,46330.24,29391447,,-1.6592,4,Non-Energy Minerals
ACNT,Ascent Industries Co.,14.57,3.33333333,0.47,Neutral,11210,163329.7,149481392,3.74511939,3.8147,707,Non-Energy Minerals
USLM,"United States Lime & Minerals, Inc.",106,-1.84276322,-1.99,Sell,7212,764472,601402632.0000001,16.19963397,6.6787,308,Non-Energy Minerals
SMID,Smith-Midland Corporation,23.49,0.04258944,0.01,Neutral,6166,144839.34,122868155.99999999,27.22950249,0.866,200,Non-Energy Minerals
HUDI,"Huadi International Group Co., Ltd.",29,-6.20957309,-1.92,Strong Buy,5546,160834,383936264,215.17049408,0.1437,,Non-Energy Minerals
USAP,"Universal Stainless & Alloy Products, Inc.",7.31,0.96685083,0.07,Neutral,5475,40022.25,65609671.00000001,20.94907407,0.3616,558,Non-Energy Minerals
AP,Ampco-Pittsburgh Corporation,3.28,2.18068536,0.07,Sell,3730,12234.4,63643534,,-0.6226,1485,Non-Energy Minerals
SRL,Scully Royalty Ltd.,7.42,1.2029788,0.0882,Sell,1018,7553.56,109940340.44836953,,,,Non-Energy Minerals
