Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
MPW,"Medical Properties Trust, Inc.",10.86,-1.71945701,-0.19,Sell,16796465,182409609.89999995,6505139794,5.52444756,2.002,112,Finance
AGNC,AGNC Investment Corp.,7.89,-1.86567164,-0.15,Sell,14085214,111132338.46,4124283133,,-1.9055,50,Finance
HST,Host Hotels,16.81,-0.11883541,-0.02,Neutral,8822697,148309536.57,12017344882,21.05855856,0.802,160,Finance
NLY,Annaly Capital Management Inc.,16.64,-2.11764706,-0.36,Sell,7850210,130627494.4,7173116885,1.68450258,10.0998,171,Finance
KIM,Kimco Realty Corporation,18.96,-1.96483971,-0.38,Sell,6823797,129379191.12,11726418052,16.16516215,1.2011,606,Finance
VICI,VICI Properties Inc.,29.65,-3.48307292,-1.07,Sell,5767852,171016811.79999998,28555720272,30.42487868,1.0262,152,Finance
RITM,Rithm Capital Corp.,7.37,-2.124834,-0.16,Sell,5509989,40608618.93,3440734198,3.78334924,2.0656,12296,Finance
STOR,STORE Capital Corporation,31.32,0.06389776,0.02,Buy,5265090,164902618.8,8853748518,26.25178227,1.1923,117,Finance
ARR,"ARMOUR Residential REIT, Inc.",4.68,-5.26315789,-0.26,Sell,5172443,24207033.24,536489719.00000006,,-1.1905,,Finance
PK,Park Hotels & Resorts Inc.,11.8,-0.33783784,-0.04,Sell,5142553,60682125.40000001,2653143329,,-0.233,80,Finance
VNO,Vornado Realty Trust,21.93,1.29330254,0.28,Sell,4946703,108481196.79,4205627013.000001,33.14451929,0.6544,3224,Finance
PEAK,"Healthpeak Properties, Inc.",22.27,-2.02375715,-0.46,Sell,4480830,99788084.1,12127828493,66.19103087,0.3436,196,Finance
PLD,"Prologis, Inc.",99.53,-2.9165041,-2.99,Sell,4480017,445896092.01,94006738033,20.67560754,4.9874,2053,Finance
WY,Weyerhaeuser Company,29,-2.68456376,-0.8,Sell,4346998,126062942,21469135071,9.08010604,3.2878,9214,Finance
O,Realty Income Corporation,55.54,-3.49261512,-2.01,Sell,4156140,230832015.6,34300252339,54.36939065,1.059,371,Finance
SVC,Service Properties Trust - Shares of Beneficial Interest,7.35,4.40340909,0.31,Buy,3880145,28519065.75,1213767652,,-2.2288,,Finance
