Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
PCG,Pacific Gas & Electric Co.,13.83,-3.35429769,-0.48,Buy,24222506,334997257.98,27489451233,185.84415584,0.1064,26000,Utilities
RUN,Sunrun Inc.,21.21,-7.62195122,-1.75,Strong Sell,10480596,222293441.16,4498729936,,-0.5481,11383,Utilities
NEE,"NextEra Energy, Inc.",71.77,-1.80599261,-1.32,Sell,8735692,626960614.8399999,142565009446,55.96049307,1.3138,15000,Utilities
EXC,Exelon Corporation,36.59,-1.71904378,-0.64,Sell,6830065,249912078.35000005,36288389477.99999,13.74307863,2.7108,31518,Utilities
FE,FirstEnergy Corp.,36.17,-2.55926724,-0.95,Strong Sell,6503663,235237490.71,20667367848.000004,15.63671595,2.3782,12395,Utilities
PPL,PPL Corporation,24.5,-0.68909607,-0.17,Sell,6065522,148605289,18036526459,25.16319869,0.9822,5607,Utilities
NI,NiSource Inc,24.49,-2.97147385,-0.75,Sell,5675674,138997256.26,9941788949,16.53672279,1.6588,7272,Utilities
NOVA,Sunnova Energy International Inc.,16.78,-7.59911894,-1.38,Strong Sell,5452095,91486154.1,1923964343.0000005,,-0.9903,736,Utilities
CNP,"CenterPoint Energy, Inc (Holding Co)",25.88,-0.65259117,-0.17,Sell,5263236,136212547.68,16291535292.000002,10.66268266,2.4494,12901,Utilities
SO,Southern Company (The),63.51,-0.84309133,-0.54,Sell,5079974,322629148.74,69114654888.00002,22.60614831,2.8524,27300,Utilities
DUK,Duke Energy Corporation (Holding Company),86.82,-1.32969656,-1.17,Sell,4711084,409016312.88,66842666893.99999,17.77468032,4.9503,27605,Utilities
D,"Dominion Energy, Inc.",64.31,-1.12238622,-0.73,Sell,4577834,294400504.54,53419097117,24.50178941,2.6795,17100,Utilities
AES,The AES Corporation,23.31,-4.46721311,-1.09,Sell,4402853,102630503.43,15569533136,,-0.5291,8450,Utilities
AEP,"American Electric Power Company, Inc.",83.52,-1.48619958,-1.26,Sell,4001183,334178804.15999997,42907057591.99999,16.70706474,5.0904,16688,Utilities
XEL,Xcel Energy Inc.,58.86,-1.47304988,-0.88,Sell,3595103,211607762.58,32195910195,19.85377202,3.0101,11321,Utilities
ED,"Consolidated Edison, Inc.",81.91,-0.29214851,-0.24,Sell,3156458,258545474.78,29043820478.000004,18.00232288,4.5753,13871,Utilities
EIX,Edison International,55.03,-3.28646749,-1.87,Strong Sell,2787026,153370040.78,20990202871.000004,42.9596074,1.332,13003,Utilities
DTE,DTE Energy Company,104.5,-1.88714675,-2.01,Sell,2768629,289321730.5,20245742874,27.17369119,3.9317,10300,Utilities
CLNE,Clean Energy Fuels Corp.,4.87,-5.80270793,-0.3,Sell,2755252,13418077.24,1082220669,,-0.1965,482,Utilities
VST,Vistra Corp.,21.42,-1.19926199,-0.26,Sell,2511324,53792560.08000001,8918177941,,-2.4644,5060,Utilities
LNT,Alliant Energy Corporation,48.93,-1.13154173,-0.56,Sell,2273078,111221706.54,12277820952,17.86900635,2.7741,3313,Utilities
CMS,CMS Energy Corporation,54.07,-0.82538518,-0.45,Sell,2227233,120426488.31,15690875309,12.0236415,4.5436,9778,Utilities
ES,Eversource Energy (D/B/A),72.56,-1.62689805,-1.2,Sell,2204630,159967952.8,25137924882,19.22836288,3.8423,9227,Utilities
PEG,Public Service Enterprise Group Incorporated,53.81,-2.11024195,-1.16,Sell,2095220,112743788.2,26843666350,,-1.9606,12684,Utilities
WEC,"WEC Energy Group, Inc.",84.3,-0.49575071,-0.42,Sell,1954231,164741673.29999998,26591132667.000004,19.58934517,4.3361,6938,Utilities
